text,label,label_name
"Some friends want me to drive em someplace, probably take a while",0,ham
Kinda. First one gets in at twelve! Aah. Speak tomo,0,ham
"It's wylie, you in tampa or sarasota?",0,ham
They r giving a second chance to rahul dengra.,0,ham
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",0,ham
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,0,ham
Do you know when the result.,0,ham
I wanna watch that movie,0,ham
Where u been hiding stranger?,0,ham
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,0,ham
Just sleeping..and surfing,0,ham
"Now, whats your house # again ? And do you have any beer there ?",0,ham
You've always been the brainy one.,0,ham
You are right. Meanwhile how's project twins comin up,0,ham
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,1,spam
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,0,ham
So are you guys asking that i get that slippers again or its gone with last year,0,ham
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,0,ham
Nan sonathaya soladha. Why boss?,0,ham
A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,1,spam
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,0,ham
S...i will take mokka players only:),0,ham
No did you check? I got his detailed message now,0,ham
They just talking thats it de. They wont any other.,0,ham
Tell them no need to investigate about me anywhere.,0,ham
Where's my boytoy? I miss you ... What happened?,0,ham
Thats cool princess! I will cover your face in hot sticky cum :),0,ham
K...k...yesterday i was in cbe .,0,ham
Should I be stalking u?,0,ham
"No I'm good for the movie, is it ok if I leave in an hourish?",0,ham
"Hi Chikku, send some nice msgs",0,ham
I wait 4 ü inside da car park...,0,ham
K.i did't see you.:)k:)where are you now?,0,ham
You in your room? I need a few,0,ham
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,ham
"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",0,ham
"Call me, i am senthil from hsbc.",0,ham
Are you available for soiree on June 3rd?,0,ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0,ham
FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,1,spam
What r u cooking me for dinner?,0,ham
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",0,ham
"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",0,ham
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,1,spam
Re your call; You didn't see my facebook huh?,0,ham
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",1,spam
"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",1,spam
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",0,ham
Have you heard from this week?,0,ham
"Haha yeah, 2 oz is kind of a shitload",0,ham
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0,ham
"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",0,ham
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,0,ham
Ugh hopefully the asus ppl dont randomly do a reformat.,0,ham
i can call in  &lt;#&gt;  min if thats ok,0,ham
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",0,ham
My exam is for february 4. Wish you a great day.,0,ham
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0,ham
K I'll be there before 4.,0,ham
Yup. Thk of u oso boring wat.,0,ham
My phone,0,ham
JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,0,ham
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0,ham
How do you plan to manage that,0,ham
Love you aathi..love u lot..,0,ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",0,ham
Now am free call me pa.,0,ham
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0,ham
"CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE",0,ham
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",0,ham
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,spam
I'm in office now . I will call you  &lt;#&gt;  min:),0,ham
My sister got placed in birla soft da:-),0,ham
Left dessert. U wan me 2 go suntec look 4 u?,0,ham
how are you? I miss you!,0,ham
I told that am coming on wednesday.,0,ham
Already one guy loving you:-.,0,ham
The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,0,ham
Hey come online! Use msn... We are all there,0,ham
"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",0,ham
No screaming means shouting..,0,ham
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",0,ham
"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",0,ham
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,0,ham
"Yep, at derek's house now, see you Sunday &lt;3",0,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,ham
"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",0,ham
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,0,ham
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,0,ham
Wat time u finish ur lect today?,0,ham
I;m reaching in another 2 stops.,0,ham
